AspergillusCount,AFB1,AFB2,AFG1,AFG2,Temperature,Moisture
1.15,23.07,17.13,16.17,0,15,4
0.92,18.45,13.71,12.93,0,20,4
2.22,44.32,7.34,2.76,0.83,25,4
0.81,16.15,11.99,2.48,0.74,30,4
1.33,26.63,17.45,7.85,2.36,35,4
0.63,12.6,47.38,49.75,14.92,40,4
2.13,42.68,1.37,7.69,0,15,8
1.71,34.15,1.1,6.15,0,20,8
2.21,44.32,10.23,3.83,1.15,25,8
1.49,29.88,0.96,3.4,1.04,30,8
2,40,10.72,4.82,1.45,35,8
1.07,21.52,28.91,30.35,9.11,40,8
1.35,27.08,2.06,0,0,15,12
1.08,21.67,1.64,0,0,20,12
1,20.05,4.01,1.5,0.45,25,12
0.95,18.96,1.44,1.35,0.41,30,12
1.76,35.22,10.57,4.75,1.43,35,12
2.03,40.61,28.43,29.85,8.96,40,12
4.15,82.93,4.1,7.5,6.65,15,16
3.32,66.35,3.29,6,5.32,20,16
2.56,51.13,8.86,3.3,0.99,25,16
2.9,58.05,2.88,2.99,0.9,30,16
1.78,35.72,12,5.4,1.62,35,16
2.07,41.29,15.06,15.81,4.75,40,16
5.52,110.45,3.43,0,0,15,20
4.42,88.36,2.74,0,0,20,20
1.84,36.73,8.86,3.32,0.99,25,20
3.87,77.32,2.4,2.99,0.9,30,20
2.9,58.15,7.99,3.6,1.08,35,20
3.38,67.68,8.82,9.26,2.78,40,20
