AspergillusCount,AFB1,AFB2,AFG1,AFG2,Temperature
1.15,23.07,17.13,16.17,0.00,15
0.92,18.45,13.71,12.93,0.00,20
2.22,44.32,7.34,2.76,0.83,25
0.81,16.15,11.99,2.48,0.74,30
1.33,26.63,17.45,7.85,2.36,35
0.63,12.60,47.38,49.75,14.92,40
2.13,42.68,1.37,7.69,0.00,15
1.71,34.15,1.10,6.15,0.00,20
2.21,44.32,10.23,3.83,1.15,25
1.49,29.88,0.96,3.40,1.04,30
2.00,40.00,10.72,4.82,1.45,35
1.07,21.52,28.91,30.35,9.11,40
1.35,27.08,2.06,0.00,0.00,15
1.08,21.67,1.64,0.00,0.00,20
1.00,20.05,4.01,1.50,0.45,25
0.95,18.96,1.44,1.35,0.41,30
1.76,35.22,10.57,4.75,1.43,35
2.03,40.61,28.43,29.85,8.96,40
4.15,82.93,4.10,7.50,6.65,15
3.32,66.35,3.29,6.00,5.32,20
2.56,51.13,8.86,3.30,0.99,25
2.90,58.05,2.88,2.99,0.90,30
1.78,35.72,12.00,5.40,1.62,35
2.07,41.29,15.06,15.81,4.75,40
5.52,110.45,3.43,0.00,0.00,15
4.42,88.36,2.74,0.00,0.00,20
1.84,36.73,8.86,3.32,0.99,25
3.87,77.32,2.40,2.99,0.90,30
2.90,58.15,7.99,3.60,1.08,35
3.38,67.68,8.82,9.26,2.78,40
